State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.22766	4.26750	4.06829	3.95762	3.72742	3.67430	3.47509	3.32900	3.23604	3.19620	3.20063	3.26703	3.29359	3.32900	3.43968	3.50165	3.44410	3.48837	3.40426	3.38655	3.47066
2	1.92523	1.71826	1.64015	1.66749	1.76121	1.74169	1.80417	1.96037	1.99552	1.92132	2.03457	1.92132	2.01505	2.06581	2.12048	2.08534	2.23764	2.19078	2.14001	2.20640	2.24545
3	1.42101	1.47772	1.47142	1.47142	1.45567	1.48088	1.53444	1.56752	1.54074	1.57067	1.54704	1.67307	1.69198	1.82431	1.83849	1.88575	1.86527	1.83061	1.87788	1.86212	1.88575
4	3.92688	3.97631	4.11362	4.05870	3.97631	3.97082	4.07517	4.08066	4.06968	3.92688	3.75663	3.59186	3.32275	3.16348	3.03716	2.98224	2.97125	3.03166	3.06462	2.99871	2.81198
5	0.78119	0.73900	0.72948	0.70906	0.71723	0.71723	0.70226	0.67640	0.66687	0.66415	0.64646	0.64782	0.63829	0.60019	0.59202	0.59338	0.60291	0.60019	0.60155	0.60835	0.62332
6	1.81514	1.83255	1.83963	1.86206	1.87948	1.88597	1.89541	1.90545	1.93113	1.98750	2.03472	2.07899	2.13242	2.16606	2.21181	2.24546	2.27940	2.30330	2.32278	2.32810	2.32426
7	0.51397	0.51225	0.51280	0.51326	0.51346	0.51427	0.51457	0.51558	0.51867	0.52368	0.53111	0.53531	0.53991	0.54401	0.54866	0.55286	0.55691	0.56212	0.56414	0.56870	0.57305
8	1.62477	1.60215	1.65116	1.66624	1.65870	1.66624	1.70016	1.77179	1.72278	1.65870	1.49660	1.54183	1.46267	1.45513	1.37973	1.41366	1.41366	1.48152	1.54560	1.59461	1.53806
9	1.29915	1.30399	1.30447	1.30399	1.31077	1.30835	1.30205	1.29769	1.29188	1.27639	1.25557	1.23475	1.22555	1.20085	1.19020	1.17809	1.16744	1.14613	1.14662	1.13742	1.14032
10	5.13949	5.14041	5.14227	5.10049	5.07449	5.04385	5.00020	4.93149	4.85257	4.66314	4.48486	4.26294	4.06052	3.88410	3.67610	3.48389	3.30654	3.17376	3.05398	2.96298	2.88405
