State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.28607	6.16122	7.59507	10.04080	14.12354	19.73389	26.73510	35.14281	42.52300	44.58586	46.56667	52.22781	52.07153	49.18040	42.65974	31.71253	21.46466	14.58065	9.76341	7.02075	5.17277
2	3.22934	3.67049	4.36667	5.44542	6.82745	8.55068	11.23892	12.80362	12.04540	10.66681	8.86086	6.54828	5.73492	5.64531	5.94515	5.95205	4.66996	3.75320	2.98464	2.50213	2.22642
3	3.09079	3.42169	3.78180	4.13495	4.55901	4.91495	4.63131	3.53153	2.51656	2.80437	3.04490	1.85058	1.76299	1.89646	2.03967	2.32191	2.77656	2.80854	2.71956	2.54576	2.29550
4	10.09648	10.98350	11.40035	11.23555	9.82505	7.35303	4.76953	3.17969	2.40900	2.17150	2.05032	2.18119	2.47686	4.11518	9.57785	19.86821	29.61086	34.06049	35.35466	33.81329	30.80809
5	1.39450	1.14707	0.95969	0.76872	0.62819	0.56813	0.52249	0.48645	0.47084	0.48045	0.48285	0.47925	0.49726	0.50567	0.51288	0.56332	0.70866	1.12905	1.76925	2.47310	3.24302
6	1.62487	1.56079	1.46077	1.34277	1.19768	1.01717	0.83431	0.71684	0.66031	0.63635	0.61786	0.62802	0.64547	0.67204	0.69730	0.74341	0.80853	0.91558	1.02108	1.13178	1.23363
7	0.62962	0.61569	0.60114	0.57752	0.54351	0.50333	0.45440	0.40860	0.38409	0.37280	0.36686	0.36240	0.37043	0.37816	0.38936	0.40061	0.41365	0.42717	0.43775	0.44601	0.45391
8	1.38071	1.45057	1.46055	1.51046	1.60029	1.60029	1.64354	1.75333	1.77995	1.84649	1.93964	2.11265	2.01284	1.95295	1.86645	1.76997	1.69344	1.63689	1.59031	1.49050	1.43061
9	1.23716	1.25425	1.26622	1.27134	1.26963	1.27092	1.27562	1.27391	1.27220	1.28416	1.29314	1.31023	1.32604	1.34442	1.34784	1.35211	1.34741	1.33502	1.32647	1.32177	1.30895
10	0.81621	0.75884	0.69410	0.65723	0.61871	0.58429	0.56544	0.55807	0.55397	0.55643	0.57446	0.59577	0.60314	0.62363	0.63674	0.65477	0.67853	0.73508	0.82686	0.93339	1.09073
