State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.78986	51.33242	7.68009	1.57416	3.20096	46.56420	22.60159	0.18203
2	0.89539	8.38823	2.01462	1.01748	2.03478	8.86114	6.31250	0.35130
3	2.21952	2.01021	1.29487	1.04990	1.54563	3.04500	3.03171	0.45515
4	0.63666	1.55110	3.11339	2.17869	3.75702	2.05038	11.18388	0.15832
5	2.56922	0.35506	0.82240	2.24539	0.64653	0.48286	0.90650	0.19785
6	11.84718	0.71466	1.89595	1.76828	2.03494	0.61788	1.00894	0.35747
7	69.12766	0.28568	0.46119	0.73732	0.53117	0.36687	0.49149	1.20550
8	0.92754	3.08564	1.62375	0.77270	1.49675	1.93970	1.66689	0.82731
9	7.22124	1.43547	1.20597	1.01006	1.25570	1.29318	1.39643	1.22374
10	3.76571	1.09919	5.47126	2.23866	4.48348	0.57448	0.73256	0.19916
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
