State (Emission order)	H2AFZ	H3K27ac	H3K9ac	H3k4me3	H3K4me2	H3K4me1	H3K79m2	H4K20me1	H3K36me3	H3K9me3	H3K27me3
1	0.652219315636009	0.9364381828025358	0.983990813587681	0.9917695973695956	0.9112574925999212	0.2995162391555623	0.39024640908913105	0.06675923131901985	0.007825326077885853	0.006429108403359403	0.005005358624444785
2	0.4394649439339697	0.5971328623559267	0.34110946744238557	0.3886077351551331	0.8665234679089162	0.7604673546595295	0.04483287381357062	0.05705910288534852	0.015655234816416848	0.015625741892051386	0.023333495694250854
3	0.08107082724629742	0.09472677432527157	0.026182745593627998	0.010992362624406086	0.17380315317281567	0.5357929981934363	0.02829673483646744	0.05350598573067014	0.01086426870773638	0.006307985007697816	0.005727589757896736
4	0.009638613511921355	0.2255409878998897	0.2402855238898641	0.4384890793608358	0.827722203727007	0.5851241504372432	0.8287831750059563	0.2277235230877427	0.26007851321611414	0.011122121528282796	0.004478243328115205
5	7.830171543663242E-4	0.005024593326957401	0.009875292327225532	0.001577764120586169	0.01575920537992048	0.05769776612078334	0.6297701273756546	0.1405619348584811	0.14344865184373873	0.0075602588436967585	0.0011139614560027023
6	0.0019434264620118475	7.114699612754118E-4	0.007161560280039039	5.64628440725182E-4	3.929824638497217E-4	0.003888549843115069	0.030751842752764474	0.04713362743440656	0.022471593549920673	0.0020583843932313393	0.0013659095678484527
7	0.0024066334854679584	4.04552843569925E-5	9.384492683505824E-4	8.857396402169264E-5	2.3782089096725754E-4	5.383814010835524E-4	0.0024842465422576566	0.02155917733521967	1.5114748133552956E-4	0.0023948183146061644	0.0033712508835726848
8	0.0794713799972825	0.004222463307910304	0.03478288764768059	0.014363088387394135	0.01276077165623015	0.008519206979621104	0.03430871378528135	0.13283613061774488	0.007245237836554654	0.20163634719206663	0.046257388066004025
9	0.012375903364916521	5.085341343390507E-4	0.009453485110184588	0.0015518576298602419	0.0024894488796174613	0.002142712617206317	0.008449491771691655	0.077721995132321	1.4599694147901613E-4	0.011270197007377315	0.265163219070897
10	0.0012214074772163763	0.004530274375536627	0.01464432322065637	0.00200101096147365	0.0014714847934860391	0.008173089357329253	0.0592322824904833	0.08642428290611312	0.4262847326515059	0.008955240495870426	0.0025101433727812966
