State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8414315867718253	0.0830595514777818	0.020533021627842513	0.053824453372380614	0.0	7.558449348577333E-4	3.955418153121189E-4	0.0	0.0	0.0
2	0.06915105471640258	0.6717051168174538	0.21837087402986868	0.0031410139560479416	0.0	0.008309390062164527	0.02156199478059021	0.0	0.007620925853233986	1.396297842382863E-4
3	0.0069899554599417435	0.08525358169382406	0.7057190832447908	0.004400739665283113	9.30496754897935E-4	0.09537803638722828	0.09066155316280791	0.005797110599184159	0.002763899594636005	0.0021055434374060746
4	0.06451353587764784	0.004075372042973011	0.015644584444815035	0.80222995749424	0.09753707947021391	0.004007163118761946	0.0	0.0	0.0	0.011992307551348284
5	0.0	4.102092800319955E-6	9.891646119834124E-4	0.023719103476104512	0.9440314921125729	0.02460031201376209	0.0	0.0	0.0	0.006655825692776867
6	2.5235776989857506E-5	7.19565420556369E-4	0.019044005572265925	2.3651059960577624E-4	0.005247110969867992	0.9632762295100685	9.281465309200849E-4	0.001494936632451158	1.923821107936807E-5	0.009009020776194969
7	5.395694678178643E-6	3.13298410322307E-4	0.003199515120651316	0.0	0.0	1.476376590813326E-4	0.9884426260426995	0.005367308651321444	0.002524218421245823	0.0
8	0.0	0.0	0.00888515072549304	0.0	0.0	0.011256907448118006	0.21799643386199413	0.7535032021131272	0.008090731326682593	2.6757452458515534E-4
9	0.0	0.0010005774162906858	9.324054203317793E-4	0.0	0.0	2.00616388186576E-5	0.022872270499210808	0.0017743822348781368	0.9734003027904696	0.0
10	0.0	5.957300407540687E-5	0.0013119121607633717	0.0018611013402169317	0.004390731176958758	0.028451234116591374	0.0	1.7276011995958252E-4	0.0	0.9637526880814343
